,age,sex,job,housing,savingAccount,checkingAccount,creditAmount,duration,purpose,risk
134,21,female,2,own,moderate,,10144,60,radio/TV,good
341,26,female,1,rent,little,little,3599,21,furniture/equipment,good
492,27,female,2,own,moderate,,1237,6,radio/TV,good
192,36,male,2,own,little,moderate,3915,27,business,bad
142,27,male,3,own,little,little,3416,27,radio/TV,good
410,20,female,2,own,little,moderate,1967,24,radio/TV,good
298,43,male,2,own,little,,2515,18,furniture/equipment,good
654,35,male,2,own,little,,2346,24,car,good
301,42,female,2,own,little,moderate,3804,36,radio/TV,bad
464,34,male,2,own,little,,1950,18,business,good
551,45,male,1,own,quite rich,,1750,6,radio/TV,good
128,34,male,3,own,little,moderate,1860,12,car,good
160,36,male,2,own,moderate,,2872,24,radio/TV,good
356,49,male,2,own,,,2331,12,radio/TV,good
740,32,male,2,own,moderate,little,2325,24,car,good
710,32,male,3,own,quite rich,,629,18,radio/TV,good
595,32,female,1,own,moderate,moderate,931,6,car,bad
105,39,male,3,own,little,moderate,11938,24,vacation/others,bad
786,40,male,2,own,quite rich,,2675,22,radio/TV,good
672,42,male,3,own,little,,10366,60,car,good
934,23,female,2,own,little,little,1498,12,radio/TV,good
235,30,male,3,own,little,little,1823,24,radio/TV,bad
614,22,female,2,own,little,,1808,18,furniture/equipment,bad
85,29,female,3,own,little,,1412,12,business,good
365,36,male,2,own,little,,1542,12,business,good
858,29,female,2,own,little,little,3959,15,car,bad
650,50,male,3,free,little,little,7476,48,education,good
943,42,male,1,own,little,,1455,4,car,good
625,35,male,2,own,,,1979,15,radio/TV,good
16,53,male,2,own,,,2424,24,radio/TV,good
806,26,male,1,own,little,moderate,590,6,radio/TV,good
46,39,male,2,own,quite rich,,2299,36,radio/TV,good
604,23,female,2,own,little,rich,1275,10,furniture/equipment,good
572,26,female,3,rent,,,5433,24,car,good
344,37,male,1,own,little,rich,3949,10,car,good
129,29,female,2,own,little,little,3499,12,car,bad
269,25,male,2,own,,,999,24,radio/TV,good
440,39,male,3,own,little,,1884,12,car,good
820,27,male,2,own,little,,1101,12,car,good
94,54,male,2,own,rich,moderate,1318,12,car,good
468,26,female,2,own,little,,2764,33,business,good
669,47,male,2,own,little,rich,3017,30,radio/TV,good
875,40,female,2,own,rich,moderate,1322,11,car,good
513,20,male,2,rent,little,moderate,585,12,radio/TV,good
981,33,male,3,rent,little,,4844,48,business,bad
195,34,female,3,own,little,moderate,1501,9,education,bad
844,47,male,2,own,little,,3422,18,furniture/equipment,good
573,22,female,1,own,little,little,806,15,business,good
332,24,female,3,own,moderate,moderate,7408,60,car,bad
242,24,male,2,free,little,little,4605,48,car,bad
79,22,male,2,own,little,moderate,3832,30,furniture/equipment,good
767,31,female,2,rent,,,2901,10,car,good
657,37,male,2,own,,,10222,48,radio/TV,good
43,24,male,2,rent,moderate,little,6187,30,car,good
20,48,male,2,own,little,,2134,9,car,good
205,38,male,3,free,little,little,10623,30,car,good
921,37,male,3,own,quite rich,,12749,48,radio/TV,good
206,43,male,2,own,little,,1935,12,furniture/equipment,good
853,32,male,1,free,little,little,1442,18,car,bad
91,54,male,2,own,little,little,1409,12,car,good
292,44,female,3,free,little,little,6419,24,car,good
150,42,male,2,free,moderate,,1346,6,radio/TV,good
796,51,male,2,free,,little,7511,18,car,bad
82,24,female,1,rent,moderate,,1568,18,business,good
87,47,male,2,free,moderate,moderate,12612,36,education,bad
821,24,male,2,own,little,rich,3016,12,radio/TV,good
141,30,female,3,own,little,moderate,4795,36,radio/TV,good
695,50,male,2,rent,quite rich,,1236,6,car,good
256,35,male,1,own,little,,2684,24,radio/TV,good
665,27,male,3,own,little,,6314,24,vacation/others,good
339,31,male,1,own,little,moderate,1521,10,furniture/equipment,good
901,44,male,2,own,,,3485,20,car,good
938,42,male,2,free,little,moderate,6288,60,education,bad
917,68,male,3,own,little,little,14896,6,car,bad
39,24,male,2,own,little,moderate,458,9,radio/TV,good
646,32,male,2,own,little,little,4583,30,furniture/equipment,good
903,40,male,2,rent,,,1386,15,radio/TV,good
84,52,male,1,own,little,little,2315,10,radio/TV,good
230,26,male,2,own,little,rich,4210,36,radio/TV,bad
546,37,female,2,own,little,,2022,24,car,good
721,24,female,2,rent,rich,moderate,433,6,education,bad
968,29,male,2,rent,,,7166,42,radio/TV,good
733,28,female,2,rent,rich,,2603,24,car,good
314,29,male,1,own,,rich,1494,4,car,good
392,39,male,3,free,little,little,3249,36,car,good
811,28,male,1,own,little,moderate,484,6,radio/TV,good
451,29,female,2,own,little,,518,6,radio/TV,good
619,49,male,1,own,little,,640,12,car,good
555,22,male,2,own,little,moderate,1331,12,radio/TV,bad
483,30,female,2,own,rich,,960,15,furniture/equipment,good
172,34,female,3,own,little,moderate,2064,24,furniture/equipment,bad
197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,bad
701,46,male,2,free,little,little,6331,48,car,bad
814,46,male,2,free,little,little,3931,48,car,bad
449,61,male,2,own,rich,moderate,1512,15,repairs,bad
361,37,male,3,own,,rich,3399,12,radio/TV,good
201,27,male,1,own,little,little,1168,12,car,good
140,27,male,0,own,rich,rich,709,6,car,good
850,33,male,2,rent,little,little,2235,20,car,bad
312,26,female,2,own,little,rich,3749,24,furniture/equipment,good
48,39,male,1,own,little,,7228,11,car,good
368,42,male,2,own,little,little,3446,36,furniture/equipment,bad
865,20,female,2,rent,quite rich,,2221,15,furniture/equipment,good
96,61,female,2,own,,,2012,12,education,good
707,25,female,2,rent,little,moderate,2969,12,furniture/equipment,bad
241,51,male,2,own,little,,1595,6,radio/TV,good
28,34,male,2,own,little,moderate,2415,7,radio/TV,good
232,35,male,2,own,moderate,,2141,12,radio/TV,good
442,29,male,2,own,little,moderate,2629,20,vacation/others,good
885,53,female,2,own,little,little,795,12,education,bad
843,50,male,2,own,little,,1559,24,business,good
60,27,male,2,own,little,moderate,1391,9,business,good
12,22,female,2,own,little,moderate,1567,12,radio/TV,good
830,44,male,2,own,quite rich,,2375,24,business,good
971,43,male,1,own,little,,7393,24,car,good
21,44,male,2,rent,quite rich,little,2647,6,radio/TV,good
668,43,male,2,rent,little,little,4843,12,car,bad
637,21,male,2,own,little,,15653,60,radio/TV,good
173,33,male,2,own,little,moderate,1414,8,radio/TV,good
38,37,male,2,own,little,rich,1225,10,domestic appliances,good
757,39,male,2,free,,rich,1271,15,radio/TV,bad
469,35,male,1,own,little,,4679,24,car,good
272,36,male,3,free,,moderate,12169,48,car,good
349,32,male,2,free,rich,moderate,1136,9,education,bad
734,37,female,2,own,little,,3380,4,car,good
69,25,female,2,own,,,2394,36,radio/TV,good
760,59,female,2,own,,,5045,15,car,good
245,25,male,2,own,little,,1258,24,business,good
949,31,male,2,own,moderate,,3621,24,radio/TV,bad
329,28,male,2,own,little,moderate,1068,6,radio/TV,good
985,25,female,2,rent,little,little,1433,15,furniture/equipment,good
386,21,female,2,rent,,,1126,18,radio/TV,good
959,30,male,2,free,moderate,moderate,3069,24,furniture/equipment,good
302,37,male,1,own,,rich,1344,24,car,bad
864,25,male,1,rent,little,,2210,10,furniture/equipment,bad
783,23,female,1,own,moderate,moderate,836,12,car,bad
788,50,male,2,free,little,moderate,6224,48,education,bad
130,24,female,2,own,,moderate,8487,48,car,good
583,33,male,1,rent,little,moderate,2384,36,repairs,bad
506,36,male,2,own,quite rich,rich,2360,15,car,good
346,23,male,2,own,little,moderate,882,13,radio/TV,good
186,74,female,3,free,little,moderate,5129,9,car,bad
355,23,male,1,own,little,moderate,1246,24,car,bad
756,74,male,0,own,little,rich,1299,6,car,good
438,65,male,0,own,little,little,3394,42,repairs,good
679,26,female,2,own,little,,1453,18,radio/TV,good
723,66,female,1,own,quite rich,moderate,790,9,radio/TV,good
622,38,male,2,own,,,3914,48,business,bad
137,66,male,1,own,quite rich,moderate,766,12,radio/TV,bad
528,31,male,2,rent,little,little,2302,36,radio/TV,bad
323,28,male,2,own,rich,little,2659,18,furniture/equipment,good
751,23,female,1,own,little,little,976,18,car,bad
603,28,female,3,own,little,,3349,36,furniture/equipment,bad
453,35,male,3,own,little,,2670,24,car,good
868,37,male,2,own,,,7409,36,business,good
415,35,male,2,own,little,,5842,36,car,good
838,63,male,2,own,little,little,2957,24,car,good
613,22,female,2,rent,little,little,3632,24,car,good
204,38,male,1,own,little,,1495,12,car,good
932,30,male,2,own,little,,1224,9,car,good
529,41,male,1,own,little,little,662,6,car,good
779,67,female,2,own,little,moderate,3872,18,repairs,good
327,34,female,2,own,rich,,1525,24,car,good
532,41,male,2,rent,little,,1503,12,car,good
367,22,female,2,rent,little,little,3650,18,furniture/equipment,good
400,39,male,2,own,little,,1473,18,radio/TV,good
982,28,female,3,own,moderate,rich,2923,21,car,good
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,good
351,29,female,2,own,little,moderate,959,9,furniture/equipment,bad
960,30,male,2,rent,little,,1740,6,radio/TV,good
199,40,male,3,own,little,moderate,4297,18,furniture/equipment,bad
809,26,female,0,rent,little,moderate,1778,15,car,bad
849,57,male,1,own,little,little,709,12,radio/TV,bad
581,49,male,1,own,little,moderate,3124,12,car,good
223,32,male,2,own,,,2978,24,business,good
480,23,female,1,own,little,moderate,3573,12,radio/TV,good
799,35,male,0,own,,moderate,1549,9,car,good
514,54,male,2,own,,,2255,24,car,good
802,24,female,2,own,little,little,4272,20,furniture/equipment,good
793,51,male,2,free,little,rich,2892,24,furniture/equipment,good
369,40,female,2,rent,little,moderate,3001,18,furniture/equipment,good
725,41,female,1,own,rich,,250,6,car,good
182,40,male,1,own,,little,1647,21,car,bad
542,31,male,2,own,,little,6350,30,furniture/equipment,bad
185,31,male,2,own,little,,1360,15,radio/TV,good
531,28,female,2,rent,moderate,moderate,2631,15,car,bad
132,27,male,1,own,little,,2708,15,furniture/equipment,good
549,35,male,2,free,,,8858,48,car,good
689,31,male,2,own,rich,little,3651,12,car,good
234,42,male,1,own,little,,1544,4,radio/TV,good
485,47,male,3,own,little,moderate,1209,6,car,bad
794,32,male,2,rent,quite rich,,3062,24,furniture/equipment,good
19,31,male,2,own,quite rich,,3430,24,radio/TV,good
407,27,male,2,own,little,little,1053,15,radio/TV,good
962,29,male,2,own,,,3556,15,car,good
560,49,male,2,free,,little,2964,24,car,good
834,25,female,1,own,little,rich,2327,15,radio/TV,bad
607,50,female,2,free,moderate,moderate,2671,36,radio/TV,bad
403,27,male,1,own,little,,802,14,car,good
916,32,male,2,own,moderate,,2848,10,car,good
450,30,male,3,own,,,11054,36,car,good
877,28,male,2,own,little,,3595,36,radio/TV,good
116,30,female,3,own,,little,7174,42,radio/TV,bad
148,28,male,2,own,little,little,5371,36,furniture/equipment,good
747,37,female,1,own,little,little,1274,12,car,bad
556,28,female,2,own,moderate,moderate,2278,18,car,bad
890,43,male,3,own,little,little,2442,27,business,good
246,52,male,2,own,little,,717,12,radio/TV,good
217,23,male,2,own,little,rich,3913,36,radio/TV,good
111,23,female,2,rent,little,rich,392,15,education,good
969,40,male,1,own,little,little,3939,11,car,good
791,41,male,3,own,,,6313,24,car,good
37,37,male,2,own,little,rich,2100,18,radio/TV,bad
366,27,male,2,own,little,,3850,18,car,good
118,23,female,2,own,quite rich,little,4281,33,furniture/equipment,bad
233,25,male,1,own,little,moderate,866,18,radio/TV,good
792,27,male,2,own,,,1221,6,furniture/equipment,good
23,44,male,2,own,moderate,moderate,1804,12,car,good
258,23,female,2,own,moderate,,3812,15,car,good
309,22,male,1,rent,little,moderate,276,9,car,good
602,34,female,1,free,little,moderate,1837,24,education,bad
540,23,male,2,rent,little,moderate,1534,12,radio/TV,bad
377,36,male,2,free,,,846,7,radio/TV,good
418,31,female,3,own,quite rich,,2782,21,car,good
547,32,male,2,own,little,,1552,24,radio/TV,good
939,46,male,3,own,,,6842,24,car,good
207,26,male,2,own,little,moderate,1424,12,domestic appliances,good
143,22,male,2,own,little,little,2462,18,furniture/equipment,bad
690,25,male,2,own,little,little,975,15,furniture/equipment,good
81,47,male,2,own,quite rich,,1213,15,radio/TV,good
569,31,female,2,own,little,little,6758,48,radio/TV,bad
912,25,female,2,own,,moderate,2991,30,radio/TV,good
121,41,female,3,rent,little,,3868,24,car,good
454,31,male,2,own,little,little,4817,24,car,bad
494,39,male,1,rent,little,little,2122,12,car,good
26,39,male,1,own,little,,426,6,radio/TV,good
500,27,female,2,own,little,little,3123,24,car,bad
754,55,male,2,free,rich,,1555,12,repairs,bad
396,55,female,3,free,little,little,2578,12,furniture/equipment,good
771,25,female,3,own,little,little,8065,36,education,bad
856,40,female,2,own,,,894,10,education,good
516,40,male,1,own,little,little,1361,6,car,good
589,60,male,2,own,little,little,2246,12,furniture/equipment,bad
935,30,male,3,own,moderate,moderate,1919,30,radio/TV,bad
913,28,male,2,own,rich,,2142,11,business,good
647,26,female,2,own,quite rich,,1386,12,car,bad
318,32,male,2,own,little,,701,12,education,good
435,25,male,2,own,,moderate,1484,12,radio/TV,bad
218,24,male,1,rent,little,little,3021,24,furniture/equipment,good
335,44,male,3,rent,little,little,3384,6,furniture/equipment,bad
861,28,male,2,own,little,,2169,18,business,bad
296,20,female,2,rent,,,4675,12,car,good
667,27,female,2,own,little,,3609,48,business,good
797,22,female,1,rent,little,,1258,12,furniture/equipment,good
931,22,female,2,own,little,moderate,1670,9,radio/TV,bad
761,24,female,2,rent,little,little,2124,18,furniture/equipment,bad
284,37,male,2,own,moderate,moderate,3878,24,car,good
22,48,male,1,rent,little,little,2241,10,car,good
227,53,male,3,free,little,little,7865,12,furniture/equipment,bad
720,34,male,3,own,little,rich,1337,9,radio/TV,bad
2,49,male,1,own,little,,2096,12,education,good
445,41,female,1,rent,,,1244,9,education,good
548,24,female,1,own,little,little,626,12,radio/TV,bad
29,63,male,2,own,little,little,6836,60,business,bad
498,32,male,1,own,little,moderate,1301,18,radio/TV,good
457,35,male,2,free,little,little,3386,12,car,bad
5,35,male,1,free,,,9055,36,education,good
829,38,male,2,free,,moderate,6681,48,business,good
805,24,male,2,own,little,little,9271,36,car,bad
281,50,male,2,own,little,,1574,12,furniture/equipment,good
32,30,male,2,own,moderate,moderate,5866,18,car,good
421,30,male,2,own,,moderate,2028,12,car,good
845,35,male,2,own,,moderate,3976,21,furniture/equipment,good
627,29,male,2,own,moderate,moderate,1437,9,car,bad
156,48,male,2,own,moderate,little,1288,9,repairs,good
975,57,female,1,own,quite rich,rich,1258,24,radio/TV,good
519,36,male,2,free,,,700,6,radio/TV,good
930,24,male,1,own,little,little,1747,24,furniture/equipment,good
983,26,male,2,own,little,little,8229,36,car,bad
586,36,male,2,rent,little,little,2799,9,car,good
259,57,female,1,own,moderate,,1154,11,radio/TV,good
297,45,male,1,own,,,1287,10,car,good
655,22,male,2,free,little,little,3973,14,car,good
502,49,male,2,own,moderate,rich,1126,9,radio/TV,good
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,bad
553,27,male,2,own,moderate,moderate,1995,12,car,good
896,28,female,3,rent,little,little,2606,21,radio/TV,good
10,25,female,2,rent,little,moderate,1295,12,car,bad
691,25,female,1,own,moderate,moderate,2631,15,repairs,good
7,35,male,3,rent,little,moderate,6948,36,car,good
208,21,male,1,own,little,little,6568,24,business,good
660,23,male,2,rent,little,rich,1297,12,radio/TV,good
375,37,female,2,rent,little,little,7685,48,business,bad
598,31,male,2,own,little,,2775,18,car,bad
833,42,female,2,own,,moderate,5084,24,radio/TV,good
414,35,female,2,own,,little,1381,24,car,bad
291,28,male,3,rent,little,moderate,9398,36,car,bad
988,29,male,3,free,little,little,6579,24,car,good
49,28,female,2,own,moderate,,2073,12,radio/TV,good
686,27,male,2,own,,rich,1347,10,radio/TV,good
609,45,male,2,free,,,1300,15,car,good
727,25,female,2,rent,little,little,1882,18,radio/TV,bad
448,55,female,3,own,,rich,1424,12,furniture/equipment,good
52,25,male,2,own,little,,1262,12,radio/TV,good
308,24,female,2,own,little,moderate,1237,8,furniture/equipment,bad
315,31,male,2,own,little,little,2746,36,furniture/equipment,bad
488,35,male,1,rent,moderate,,1418,10,car,good
591,42,female,2,rent,,moderate,1965,24,car,good
742,41,male,2,own,,,3160,21,radio/TV,good
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,good
948,43,male,1,own,little,,1533,18,furniture/equipment,bad
501,42,male,2,free,little,little,5493,36,car,good
119,36,male,3,own,quite rich,moderate,2366,12,car,good
994,50,male,2,own,,,2390,12,car,good
394,31,male,3,own,little,,2406,9,furniture/equipment,good
973,36,male,2,rent,little,little,7297,60,business,bad
653,42,male,3,own,moderate,moderate,8086,36,car,bad
527,42,male,1,own,little,,1503,4,radio/TV,good
639,26,male,2,own,little,little,4370,42,radio/TV,bad
86,27,female,2,own,little,moderate,1295,18,furniture/equipment,good
171,26,female,2,own,little,,763,12,furniture/equipment,good
828,47,male,2,free,,little,8335,36,car,bad
27,42,female,2,rent,rich,rich,409,12,radio/TV,good
785,35,male,1,own,rich,moderate,1941,18,business,good
746,23,female,2,rent,little,little,2511,15,car,good
510,26,male,2,own,little,little,759,12,car,bad
748,26,male,2,own,,,5248,21,car,good
662,50,male,2,own,little,,2241,21,furniture/equipment,good
693,44,male,1,own,,little,4716,6,car,good
491,42,female,3,free,little,moderate,8318,27,business,bad
579,27,male,1,own,little,,937,24,education,good
736,23,female,3,rent,little,moderate,11560,24,car,bad
252,24,female,2,own,little,moderate,2150,30,car,bad
552,34,male,2,own,little,little,6999,48,radio/TV,bad
892,38,male,1,own,little,little,2171,12,car,good
772,36,male,3,own,little,,3275,21,car,good
131,29,male,2,own,little,little,6887,36,education,bad
699,40,male,3,rent,little,rich,1905,15,education,good
626,41,male,2,own,little,rich,2116,6,furniture/equipment,good
708,25,female,2,own,little,moderate,1206,9,radio/TV,good
565,23,female,2,rent,moderate,moderate,1553,24,radio/TV,good
125,30,male,2,own,little,little,2121,12,car,good
9,28,male,3,own,little,moderate,5234,30,car,bad
78,39,male,1,own,,,9436,54,car,good
808,55,male,3,free,little,moderate,9283,42,car,good
543,34,male,1,own,little,rich,2864,18,furniture/equipment,bad
484,44,male,2,own,quite rich,,1163,12,car,good
904,36,male,3,own,little,,1278,24,radio/TV,good
587,21,male,1,own,little,little,1289,12,furniture/equipment,good
54,57,male,2,free,little,moderate,2225,36,car,bad
388,27,male,2,own,quite rich,moderate,2326,15,business,good
670,27,male,1,own,moderate,,4139,24,business,good
352,38,male,3,own,,,3229,18,car,good
487,62,female,2,free,little,,3757,24,car,good
566,36,male,2,own,little,little,1372,12,car,bad
893,34,male,2,own,little,moderate,5800,36,car,good
250,39,female,1,own,rich,little,666,6,car,good
443,41,male,1,own,little,,719,12,education,bad
840,29,male,2,own,little,little,5179,36,furniture/equipment,bad
165,32,male,2,own,quite rich,,2978,6,furniture/equipment,good
505,27,male,1,own,,,1309,10,car,bad
264,32,male,1,own,little,,1231,10,car,good
51,30,male,3,own,little,moderate,5965,27,car,good
107,32,male,2,own,little,moderate,6078,12,car,good
59,23,female,1,rent,little,little,6229,36,furniture/equipment,bad
804,24,female,0,rent,,moderate,7472,12,car,good
847,28,male,2,own,little,,1249,24,car,good
478,39,male,1,own,moderate,moderate,1037,12,business,good
597,36,male,1,own,little,moderate,4241,24,business,bad
936,28,female,1,own,little,rich,745,9,radio/TV,bad
499,28,male,2,own,moderate,rich,1323,6,car,good
181,30,male,3,own,little,moderate,4455,36,business,bad
997,38,male,2,own,little,,804,12,radio/TV,good
466,29,female,1,rent,little,little,1659,24,radio/TV,bad
711,35,female,2,free,little,little,1198,6,education,bad
749,33,male,2,own,little,,3029,15,car,good
743,22,male,2,own,quite rich,little,2483,24,furniture/equipment,good
198,36,male,2,free,,moderate,2760,24,car,good
882,36,male,2,own,,moderate,2181,30,car,good
965,26,female,2,own,,moderate,1715,30,radio/TV,good
279,29,male,3,rent,moderate,,1901,24,radio/TV,good
331,30,female,2,own,moderate,,1864,18,education,bad
926,21,female,2,rent,little,little,1049,18,furniture/equipment,good
190,54,male,3,own,rich,,4591,24,business,bad
534,25,male,2,own,,,3105,24,radio/TV,good
222,30,male,2,own,little,,707,12,radio/TV,good
114,35,male,2,own,quite rich,little,1680,12,radio/TV,good
151,38,male,2,own,little,,1924,10,radio/TV,good
460,37,male,2,own,little,little,3620,36,furniture/equipment,good
688,35,male,2,own,moderate,,2753,9,radio/TV,good
187,68,male,0,free,little,moderate,1175,16,car,good
73,41,female,1,own,little,moderate,5954,42,business,good
729,36,male,2,own,rich,rich,1275,24,business,good
240,29,female,2,own,,little,915,24,car,bad
145,30,male,2,own,moderate,moderate,3566,48,business,good
562,29,female,2,own,little,rich,683,6,radio/TV,good
255,27,male,1,own,,moderate,7418,60,radio/TV,good
95,58,male,2,rent,little,moderate,15945,54,business,bad
610,22,female,2,own,moderate,little,741,12,domestic appliances,bad
719,31,male,2,own,moderate,moderate,6148,20,car,good
371,33,male,2,own,little,,6070,18,radio/TV,good
370,36,male,2,own,,,3079,36,car,good
515,37,female,2,own,little,little,609,6,car,good
412,42,male,3,own,little,,2292,12,business,bad
493,38,male,2,own,,moderate,368,6,radio/TV,good
638,34,female,2,own,little,,1493,12,radio/TV,good
800,54,male,2,free,little,,1597,24,education,good
161,30,female,2,own,little,,1055,18,car,good
941,31,male,1,own,little,,1546,10,car,good
426,29,male,2,own,little,,2743,28,radio/TV,good
243,27,female,2,own,little,,1185,12,business,good
680,56,female,2,own,little,,1538,6,education,good
416,33,male,1,own,little,little,2579,12,car,bad
343,33,male,3,own,little,moderate,4439,18,business,good
954,29,female,2,own,little,little,1893,12,car,good
322,34,male,3,free,little,little,2910,24,car,good
561,24,male,1,rent,little,little,1546,24,radio/TV,bad
648,38,male,2,free,little,rich,947,24,car,bad
30,36,male,2,own,rich,moderate,1913,18,business,good
373,63,male,3,free,,,13756,60,car,good
998,23,male,2,free,little,little,1845,45,radio/TV,bad
706,24,male,2,own,moderate,moderate,6560,48,car,bad
56,52,male,3,own,,moderate,6468,12,radio/TV,bad
486,52,male,2,own,little,,3077,12,radio/TV,good
509,45,male,3,own,moderate,,8588,39,car,good
422,47,male,1,own,little,moderate,958,12,car,good
713,25,male,1,own,little,little,1138,9,radio/TV,good
149,46,male,2,own,rich,,1582,18,radio/TV,good
533,26,male,2,own,moderate,,1311,24,radio/TV,good
183,50,male,2,own,rich,,3777,24,furniture/equipment,good
0,67,male,2,own,,little,1169,6,radio/TV,good
387,40,male,3,own,little,moderate,7374,18,furniture/equipment,good
564,37,male,3,own,,moderate,4712,24,business,good
126,40,male,1,own,little,little,701,12,radio/TV,good
294,46,male,3,own,,,7629,48,business,good
44,58,female,1,free,little,little,6143,48,car,bad
946,30,male,2,free,quite rich,little,3349,24,furniture/equipment,bad
676,33,male,2,own,little,,5150,24,furniture/equipment,good
872,26,male,2,own,moderate,little,1382,24,business,good
313,25,male,1,own,little,moderate,685,12,car,bad
951,24,male,2,own,little,little,2145,36,business,bad
823,47,male,1,own,little,little,731,8,car,good
606,74,male,3,own,little,,4526,24,business,good
109,35,male,2,own,quite rich,moderate,1410,14,business,good
871,46,male,2,own,little,rich,1343,6,car,good
764,27,male,2,own,moderate,,2463,24,car,good
58,23,female,3,own,little,rich,1961,18,car,good
393,31,female,2,own,little,little,1957,6,radio/TV,good
818,43,male,3,own,little,little,15857,36,vacation/others,good
456,36,male,2,rent,little,little,3905,11,car,good
599,32,male,2,free,little,,3863,24,business,good
360,61,male,2,free,,moderate,1239,18,education,good
897,35,female,2,own,rich,,1592,12,furniture/equipment,good
709,37,male,1,own,little,moderate,2118,9,radio/TV,good
439,26,female,0,own,little,rich,609,12,business,bad
174,26,male,2,own,little,little,3414,21,education,bad
122,24,male,1,rent,little,,1768,12,furniture/equipment,good
